,,,Course Evaluations 2014-2016,,,,,,,
5/13/2014,5,5,administration,good,Configuring LDAP,no,5,5, ,EMEA
5/13/2014,5,5,-,it was ok,scripted configuration,-,5,5,she was good,EMEA
5/13/2014,4,4,to learn BW,yes,mapping and web service ,the admin portions,5,5,Great job.  Handled all questions and problems well.,AMER
5/13/2014,5,4, , , , ,5,5,Excellent.,AMER
5/13/2014,4,4,get an intro to tibco,yes,the first day's lessons,soap,5,5,very good instructor,AMER
5/13/2014,4,4,basic knowledge,yes,Unit 5,Unit 9,5,5,"Great instructor, very helpful and patient",AMER
5/14/2014,4,5,Get to the advanced beginner's level at the end of the course,"Yes, very much",All topics,None,5,5,Very good,APJ
5/14/2014,4,4,Learn BW,Yes,-,-,5,5,Knowledgeable and helpful,APJ
5/13/2014,5,5,"obtain a good understanding of Hawk configuration, instalation, rule creation etc","labs were a problem. Had a couple of issues with Administrator functions that didn't work. Also, it seemed there was too much lab work for a one day course. We pretty much completed 2 1/2 labs out of 5....",all,all,5,5,Alvin is a good egg....,APJ
5/13/2014,3,3,More hands on ,satisfarctory,architecture,n/a,4,3,good,APJ
5/13/2014,3,3,To learn how to write Hawk alerts. ,"The remote session in America made the interface slow, but other than that it worked fine",The seections covering how to write Tibco Hawk alerts,The labs that covered the installation of various components of Tibco needed for Hawk to run.,5,5,Very knoweledgable about Tibco Hawk and he was a valuable resource to ask questions of,APJ
5/13/2014,3,3,"To understand Hawk Monitoring, viz. setup, etc.","Nope, too much to cover in one day, ended up not doing some of the lab excercises.",All of them.,None,4,4,Had a good knowledge of the course he was presenting. ,APJ
5/13/2014,4,3,"get to know how to use Hawk to monitor our Tibco env, apps, etc.","no time to do the lab, not even finish 40%.",monitoring domain infrastructure,monitoring adapter services,5,5,"instructor is very good, but there is definitely no enough time to go through the lab exercises, which deterioate my expected learning results.",APJ
5/13/2014,3,3,little,it was OK,Descriptions of PARS in relation to EAR files,setting up of Labs ,4,4,little,APJ
5/13/2014,4,2,To cover best practices for Hawk rules and examples of use cases. How to set them up.,Yes the instructor was very helpful and had more than the required knowledge,"The theory, i think the labs should be reworked",Labs,5,5,As expected,APJ
5/13/2014,5,5,learn basics of Tibco,For the most part.  Nice to have VM's already set up. Hard to read overhead.  Need more contrast for overhead projection.  ,"designing business processes with designer, integrating adapters.",UDDI,5,5,Very good.  ,AMER
5/13/2014,5,4,Learn basics of TIBCO.,"Mostly, but my background is primarily with zOS and tools for that OS.",All,None,5,5,I think he does a very good job.  I think it is too much material for the time alloted.  THere was not enough time to complete labs in a reasonable day.,AMER
5/13/2014,5,5,Learn basics of building BW processes to reduce point to point integration that we commonly use today.,Virtual machines did not display message text on popups.,Generating services,Overview of all the products sold by Tibco.,5,5,Very knowledgeable and good instructor.  Very helpful during labs and making sure we understood the material.  ,AMER
5/13/2014,4,4,Become proficient in TIBCO development.   Would hae been faster with standard IDE (e.g. eclipse),yes.,Creation of grouped activities with transactions.  Info about message queues &amp;amp; topics. ,a few items which changed in the product since writing the text,5,5,Interesting Fellow - very personable.,AMER
5/13/2014,4,5,To learn how to use the TIBCO system and understand the components.,"Yes, it was cramped but it was on-site so it was not something that the TIBCO folks could fix.",message communication and transformation,None,5,5,Very energetic and exceptionally helpful.  Did everything he could to get us to understand the concepts and finish the labs.  My impression is that he really enjoys teaching.,AMER
5/22/2014,4,4,Learning the basics.,NA,NA,NA,5,5,"Good knowledge, good presenter.",APJ
5/22/2014,4,4,Basic knowledge on MDM,Yes,Matching merging,NA,4,4,Good Knowledge of MDM,APJ
5/22/2014,4,4,Know abt TIBCO MDM tool,Yes,All,None,4,5,Good,APJ
5/22/2014,5,4,UNderstand advanced tibco MDM and administration,yes,INtegration and administration,na,4,5,good,APJ
5/15/2014,5,5,To receive an introduction to Translator.,"Mostly, with a few bugs.",Creating rules and mapping EDI to XML.,N/A,5,5,Jane was an excellent instructor.,AMER
5/15/2014,4,4,To get start with Translator features for using it in my project,Yes,na,na,4,4,Very good with lecture and lab support,AMER
5/15/2014,5,5,To learn how to use translator and how to map,There was an issue with the product running the rules editor on the lab machines - although the instructor made valiant attempts to correct. SHe is going to try to correct the situation so we can run labs in tomorrows session,Setting rules during mappings.  ,none,5,5,Very knowledgable,AMER
5/12/2014,5,5,Can learn the BPM environment developing,its good,Organisatin related,Admin part,5,5,It was helpful,APJ
5/12/2014,4,4,Understand BPM concepts and usage with hands-on experience,Yes,"Organization Model, Process Model, BOM",Custom Forms,4,4,The instructor was helpful ,APJ
5/12/2014,4,4,Expand the skill set.,yes,BPM401,Nothing,5,5,he is very well versed with the training material and details.,APJ
5/12/2014,4,4,"Advance BPM concepts should be included in the course.
Labs on loops and dynamic sub process calls should be included",yes,Organization Model,None,5,5,Good knowledge ,APJ
5/12/2014,4,3,I had expected more in terms of troubleshootings and integration etc,yes it was pretty good ,"installation, org model and soa integration",nothing as such,4,4,I feel the instructor can do still better as he's capable of that,APJ
5/12/2014,4,4,Learning BPMDevelopment from installation to Applications.,yes.it was supportive,"Installation and Configuration of LDAP,BPM nodes and system nodes",None of them,4,4,He was presenting good knowledge of whole tibco BPM,APJ
5/12/2014,3,3,"Overview, understanding architecture,concepts, migration from iProcess to AMX BPM",Yes,"Process, Pageflows,Subprocess,etc",None,5,5,"Has good exposure and able to explain concepts, helpful",APJ
5/12/2014,5,5,To attain the Knowledge about the Business Processes and Events through Active Matrix BPM,Yes ,Development of Business Processes and Deployment,There were None,5,5,The trainer was easily approachable.Being not of the same domain I was able to relate and make some modules.,APJ
5/19/2014,5,5,To gain an understanding of BE its deployment/administration. ,Yes,"Deployment, Cache Management, Hawk.",Performance Monitoring,5,5,Gopal was an excellent instructor.,AMER
5/19/2014,5,5,learn BE administration,yes,cache managment and performance tunning,n/a,5,5,more than my expectation,AMER
5/19/2014,5,5,"To learn the techniques to deploy, administer and maintain BE applications.",NA,Performance tuning.,None,5,5,"He was very knowlegable in the material, and was effective in explaining everything.  One of the best TIBCO instructors that I have had.",AMER
5/19/2014,5,5,Possibly extend this class to 3 days.,yes,Distributed Cache and Cache Management,n/a,5,5,Very knowledgable and helpful.,AMER
4/22/2014,4,4,N/A,N/A,N/A,N/A,5,5,N/A,AMER
5/19/2014,4,4,"To learn the basics of MDM, I am pretty clear with the concepts now.",NA,WebService and Rulebases,NA,4,4,NA,APJ
5/19/2014,4,4,TO have good understanding of Tibco MDM 8.3,Yes,How to use studio 8.3 for mdm.,NA,4,4,Instructor has good knowledge of MDM,APJ
5/14/2014,3,3,"How to deploy applications
How to implement security policies
How to configure load balancing and redundancy",Yes,Configuring load balancing,Rolling configuration,3,3,He is good on teaching the course material but with no hands-on experience of the product,EMEA
5/14/2014,5,5,More advanced admin topics / not suitable for unix based installations,Zain Labs,Load balancing,Custom logging is not a practical topic for admins,3,5,Doesn't have a practical experience / couldn't answer all questions.,EMEA
5/14/2014,4,4,to get to know TIBCO active matrix administration,yes,Load Balancing,Redundancy between Development course and admin course in some materials,3,4,knowledgeable of the course material but gets stuck when when asked on some out of the box questions ,EMEA
5/15/2014,5,5,Brush-up by BW knowledge,Yes,all,None,5,5,Great,EMEA
5/15/2014,5,4,to get more insight of BE advanced tasks,yes,"Shared Datacache
Webstudio / Business Rules",BPM part,5,5,Good impression. Very supportive,EMEA
4/22/2014,5,5,To better understand the product and how to better implement it and use it in my environment.,n/a as this was an online course. ,Most of it as I've only played around with the product; we are only now implementing it.,All were helpful.,5,5,Very positive; instructor willingly answered questions and clarified material as needed.,AMER
4/22/2014,5,4,The expectation from the course was to understand the MFT product from administration standpoint and and it was very communicated. The course also touched upon implementation scenarios which would certainly be helpful to a Tibco employee in proposing the MFT product to potential clients.,It was very supportive.,The topic which i found most helpful was Automating Transfers,Delegated Administration was least helpful as there was not enough time to complete the lab exercise. Though the core concepts were very well communicated ,5,5,The instructor knew the product very well. She was also very diligent in assisting during lab exercises and answered all our question with good technical insight.  ,AMER
5/19/2014,4,4,"Already had experience working on CIM, wanted to learn how the components can be developed using Studio",Yes,"Data Quality, Text Searching",Data Sources/Repositories and other basic details,5,5,"Had great knowledge on MDM, patient and always ready to help",APJ
5/19/2014,4,3,I am expected in the backend xml.,yes ,every topics is helpfull,nothing,4,4,Courses are very good. and lab are very useful.,APJ
5/19/2014,4,4,"Right now we are working on lower version CIM7.1. The main intention to attend this course. In next few months our client is going to upgrade version. So we want to get some good knowledge in Upgrade version. At the time of upgrade we have to work with tibco team.
Second we have to fix few on going issue which are very high priority in existing environment. This training has given some kind of confidence. That we can fix those issus.",Good,"Creating data sources and import mappings 
and rule base concepts really very helpful.",I can't say least. All are helpful.,5,5,"Good.  Please give more time for labs. Those we did not have knowledge on tool  (MDM-Studio) will take more time to complete labs. 

Please give one doc  about  studio",APJ
5/19/2014,4,4,To understand the Tibco MDM product.,Yes,"I am new to the tool, so all the topics were helpful.",None,5,5,"Good, helpful and had good knowledge to answer all the queries of the attendees.",APJ
5/19/2014,4,4,To get insight on MDM concepts and get hands on.,Yes,"MDM concepts,DataSources,RuleBases,Workflows",None,4,4,It is good.,APJ
5/19/2014,4,4,"To learn to MDM concepts, do the Labs and install MDM.
To get a kick start for the certification.",The Air Conditioning was not good - the temp was too low and made my fingers freeze.,I think one day of training should be dedicated only for installations and troubleshooting tips document should be given.,None,4,4,"Good.
",APJ
5/19/2014,5,5,Get the basics,yes,Rulebase models,NA,5,5,very good,APJ
5/22/2014,4,4,To learn MDM concepts and MDM Server,Yes,All,NA,4,4,Good,APJ
5/20/2014,5,5,To learn EMS effectively and also gain the practical experience. ,Yes.,Almost all topics are helpful.,All topics are relevant.,5,5,Good.,APJ
5/14/2014,4,4,Get an overview of how to develop Business Processes with TIBCO Business Studio,The online session I had was very supportive.,"Defining Object Models, Modeling Business Processes, Events and Gateways",All the topics were helpful,5,5,The instructor was very professional and had very good knowledge of the topics,EMEA
5/13/2014,4,4,Understand what the TIBCO BW is.,none,BW Integration,none,4,4,She has a lots of experience on BW. Very helpful for me to understand BW.,APJ
5/13/2014,4,4,understand TIBCO Product and know how to sale,yes,BW administration,no,4,4,good,APJ
5/13/2014,5,4,"Detailed product feature introduction and hand-on experience
Best Practice for real Projects",YES,TIBCO DESIGNER,"TIBCO ADMIN, TIBCO HAWK",4,4,"Familar with TIBCO Products,eg.BW,ADMIN,HAWK, but prefer to give us more real project examples.",APJ
5/13/2014,4,3,learn about big data solution and products,using VM is very helpful to practice,very lab practice,no,5,5,good speaker,APJ
5/13/2014,4,4,none,none,none,none,4,4,none,APJ
5/13/2014,4,4, , , , ,4,4, ,APJ
5/13/2014,4,4,I can help customers to manage their TIBCO products.,It is fine in our office.,HA,script,5,5,nice,APJ
5/13/2014,4,4,what is TIBCO &quot;BusinessWork&quot; and how to use it.,Yes.,BusinessWorks Integration,N/A,4,4,clear presentation,APJ
5/13/2014,5,5,all ,yes,All topics,no,5,5,good instructor,APJ
5/15/2014,5,5,To get administration knowledge for managing the Tibco EMS Servers.,Yes.. most definitely,EMS Fault Tolerance and Load Balancing - This chapter helped reinforce information that I need for my current job as a Tibco Admin.,N/A,5,5,Excellent teacher,AMER
5/15/2014,5,5,To learn the ins and outs of EMS and how to use it in a way that is relevant to my job.,yes,"bridging, permission management, security, routing",none,5,5,very helpful and informative,AMER
5/16/2014,4,4,To get start with instream features and foresight studio for creating workflows,yes,n/a,n/a,5,5,Very good with lecture and explanation of concepts,AMER
5/16/2014,5,5,To receive an introduction to Instream.,"Mostly.  A few files were missing and/or incorrectly named, but nothing significant.",Runtime data validation.,N/A,5,5,Jane was outstanding.,AMER
5/16/2014,5,5,TO get an overview and beginner skills on using the insight tools,Yes,All,None,5,5,"She was very knowledgeable in the subject matter, and had used the tools before.",AMER
5/16/2014,5,5,optimizations and best practices for Tibco BW,really liked virtual machines all prepared in advance,"integration with JAVA, best practices for performance",Hawk agents more for TIBCO admins,5,5,very informed,AMER
5/16/2014,3,3,TO gian advanced BW knowledge,Yes,Processing data,nothing,3,3,Good,AMER
5/16/2014,5,5,more on the ems and transaction management,yes,transaction management,hawk ,5,5,Great job.  Very knowledgeable,AMER
5/27/2014,4,4,Basic and Advanced,Ok,ALL,None,4,4,Good,APJ
5/27/2014,4,4,Beginner's course. Met its objective.,yes,All,none,4,4,OK,APJ
5/16/2014,4,4,Get the basics.  I do not plan to use the product in the near future.,Yes,All,None,5,5,Mike knows the material very well and understood question even when the perspective could be specific to our environment.  ...The way &quot;we&quot; do things.,AMER
5/16/2014,4,4,No specific expectations,yes,Performance improvement info,None,5,5,Very knowledgeable and interested in making sure we understood the material,AMER
5/16/2014,4,3,Cover advanced topics related to developing BW applications,Yes,Chunking data,Java (not enough depth),5,5,Excellent instructor. Stayed on topic. Not afraid to say &amp;quot;I don't know&amp;quot; in the rare situations he didn't know the answer.,AMER
5/16/2014,4,4,To learn best practice techniques.,yes,Critical Groups,none,5,5,Very helpful.  Wants to make sure you get it.  Able to tailor the course to the needs of the participants.,AMER
5/16/2014,5,5,More thorough understanding of Business Works to support upcomping VUMC projects.,Yes - despite haunted projector!,efficient xsl transformation information.,All were useful.,5,5,Mike did an excellent job - kept class on track and dealt with questions as they came up very well.,AMER
5/16/2014,4,4,"Gain understanding about TIBCO system, especiall w/r/t pragmatic / performance related issues.",yes,"Memory saving, batching, Hawk",RV,5,5,Very knowledgable and personable,AMER
5/16/2014,5,5,No expectations,Yes,Processing data efficiently,Managing engine behavior,5,5,Very good,AMER
5/16/2014,4,3,Get some advanced tips,yes,Transactions,engine commands,4,4,"knows his stuff
nice guy
patient",AMER
5/19/2014,5,4,Understanding the basics of Tibco MDM and be able to use basic features of the tool,Yes.,Rulebase Models.,NA,5,5,Very Good,APJ
5/22/2014,3,3,Wanted to learn MDM basics,NA,"FileWatcher, MDM Pluggin","COurse 301 first two units, as it was repeated.",4,4,He has a good knowledge of the product.,APJ
5/20/2014,5,5,To learn EMS from basics and to obtain good practical knowledge of the subject.,Classroom environment is very supportive for learning experience.,All the topics are helpful.,None,5,5,Good.,APJ
5/20/2014,5,5,Learning EMS,yes,All Topics,---,5,5,"very good, very interactive, the way she explained the topics was very good......",APJ
5/20/2014,5,5,Learning EMS.,--,"Topics, Queues",--,5,5,"The instructor was very interactive, impressive and clearly explained almost all every concept.

Expecting these kind of instructors for the further training ahead.",APJ
5/20/2014,5,5,"I wanted to have both theoretical ans practical knowledge, which i gained.","Yes,classroom environment helped me to have learning experience",All the topics covered in class were helpful,All the topics were helpful,5,5,She is excellent instructor,APJ
5/20/2014,5,5,gain knowledge on EMS,yes,"toics,queues,bridges,routes etc..",none,5,5,very good,APJ
5-26-22014,4,4,Understand Tibco and its products mainly BW.,yes,All topics under BW,nA,4,4,He is good at explaining concepts.,APJ
5-26-22014,4,4,Basic idea about BW and EMS,Yes,BW,EMS,4,4,he has very good knowledge on BW and EMS,APJ
5-26-22014,4,4,EMS and BW basic and advance,"Projector was not in working condition.
","EMS, Active Matrix Business Works",none,4,4,good,APJ
5-26-22014,5,5,TO know basic of Tibco,yes,"EMS,BW",ALl are helpful,5,5,He is having a tremendous knowledge base on Tibco.,APJ
5/8/2014,4,4,Gain a basic understanding of the product and see how we can apply this to current projects.,"Yes, the instructor answered questions that were relevant to our current process that were not mentioned in the training material ","The topics were all basic concepts, the instructor had real life knowledge of the product",The training material had screenshots that were not clearly visible,5,5,"He was a good instructor, patient with the class and taught at a good speed, we would welcome him back.",AMER
5/8/2014,4,4,High level understanding of TIBCO functionality and what it does,ok,Rules engine overview,Spotfire,4,4,Great instructor. Very helpful  ,AMER
5/8/2014,5,4,"I expected to learn what the capabilities of Business Studio for BPM are, and when is it appropriate to use Tibco BPM and when not to.",Yes.,N/A,N/A,5,5,"Very helpful, knowledgeable and effective.",AMER
5/8/2014,5,5,To obtain an understanding of the BPM development capabilities and understand the different capabilities available to a Business Analyst vs. a Developer,Yes,All topics except as noted in question 12 below,Simulations and Tibco SpotFire,5,5,Very good instructor,AMER
5/8/2014,4,5,Yes,NA,"Rules, Event Controller",simulations,5,5,Good,AMER
5/8/2014,4,4,-,-,-,-,4,4,-,AMER
5/8/2014,4,4,Expected more real examples related to the industry,N/A,Tibco analyst view of creating the usiness Model,Spotfire ,4,4,Good,AMER
5/8/2014,4,4,"General overview of Tibco BPM product and its capabilities.  Special interest in workflow automation, and how to create and customize forms, and attach them to data stores.",Yes.  Very good physical location.,"The core content on object models, process modeler, forms.","Simulation: It's not strong enough to be that useful, and not my focus.
Spotfire: It's very powerful, but since we're not focused on simulation, this is peripheral.
",5,5,"Jose was very good.  We had a very technical crowd, and he fielded questions very effectively, some of which were outside the strict scope of the course.  I felt he provided very good value.",AMER
5/8/2014,5,4,Learn BPM,Yes.,Process flow,Spotfire,5,5,Excellent communication skills.  Knew his subject well.  ,AMER
5/12/2014,4,5,"Have an idea of what the BPM tools could do.  Compare Business Studio VS Business Works, in which activities each one is more appropriate.

I understand that Tibco BS is very powerful but the initial learning curve is (will be) steep.  There is more than enough rope to hang ourselves, one must determine the best approach to use these tools in a deterministic manner.

Bottom line: I enjoyed the course very much, but wish I had prepared a bit better before taking it.","Yes, Jose was always there to help us, very supportive.","The gateways (support for workflow patterns), the organization model, the web services.","If OpenSpace is to become THE tool over Workspace, wish we could have spent more time with it.",5,4,Very supportive and patient.  Did very well even though he was sick with allergies.  Kudos!,AMER
5/12/2014,5,5,"1)	To learn about developing Business Process , Page process , Service task  and application deployment
2)	 Familiarize with open space and workspace client 
 
",yes. It is Good .,"1) Creating and deploying Organization Model
2) creating Business Object Model
3) Creating and deploying Business Process ,page processes and process as service
4) Modeling and preview forms
System action",To me all of them very useful,5,5,Jose has good knowledge on BPM and its related technology  and also have lot of patience to explain for all my questions and clarifications and he ensured that no one left behind on this session He is a  good asset for training team,AMER
5/12/2014,5,5,"design and develop,deploy",yes,all,none,5,5,proficient,AMER
5/27/2014,5,5, , , , ,5,5, ,AMER
5/27/2014,4,4,To be introduced to tibco,yes,Labs,N/A,4,4,Good Instructor,AMER
5/27/2014,4,4,Become familiar with the purpose and capabilities of TIBCO ESB,yes, , ,5,5,"Communicated clearly, knew the material well",AMER
5/19/2014,4,5,"My expectations where how BW works, and how to develop in it.",It was ok,All topics where quite helpful but the EMS part and groups and transactions where also intresting.,none,5,5,"He had good knowledge about the stuff he was teaching, and could answer our questions, even off topic.",EMEA
5/19/2014,5,5,i wanted to getting to know more about BW just to understand stuff better,yes was fine,all designer labs were,all were helpfull,5,5,very skilled trainer,EMEA
5/19/2014,3,3,"I have worked with Tibco Business works for a couple of months. My expectations from this course was to learn:
- best practices
- improving performances
- some intermediate / advance stuff like working with xslt, EAI design patterns",yes,"the following topics are very helpful:
- web services
- working with EMS
- using groups
- tips working with mappers / xslt",all the topics were helpful,4,4,"The instructor:
- is very helpful. All mine questions where answered.
- explanation are very clear.",EMEA
5/19/2014,4,4,get familiar with the basics of designing with tibco designer for tibco businessworks,Yes.,Advanced Service Design,Introducing TIBCO Solutions. I'm not here for a sales speech.,4,4,Good instructive skills. Knowledge of the subjects is good.,EMEA
5/19/2014,5,5,"I chose to attend the course for getting hands-on experience with Tibco BusinessWorks. After three days, I am very satisfied.","Good class room facilities, no complaints","With having ZERO hands-on experience with Tibco BW before the course started, really ALL topics were very helpful. I studied the Tibco books written by the Tibco lead architect before the course, though.",not applicable,5,5,"Good motivation, friendly, clearly explaining, providing tips, very experienced, can quickly fix bugs that students have made in their own labs.
I am very happy that we got so much time to do our own labs, and that the instructor limited the time of presenting slide material (which I also can read at home).",EMEA
5/21/2014,5,5,Learn more about EMS,No network connection,Hawk,N/A,5,5,Skilled instructor,EMEA
5/21/2014,4,4,.,No connection between machines. No exercises with DB possible.,Discussion on the configuration files and related exercises,"EMSCA (since it is not in use at ING.)
Web Messaging",3,3,.,EMEA
5/21/2014,5,5,.,No network connecting.,.,.,5,5,.,EMEA
5/21/2014,4,4,Bit more knowledge on EMS,No connections available so we needed to skip a number of exercises.,"EMS topic and queue configuration, and Hawk",None,4,5,Very good,EMEA
5/21/2014,4,5,Basic principles into EMS,.,"Configuring EMS, managing permissions, monitoring EMS server, TIBCO Hawk",Routing,5,5,"Very skilled, helpful, great instructor",EMEA
5/21/2014,4,3,Wasn't sure. The course description wasn't too descriptive.,Network connections. Some exercises couldn't be performed.,.,.,4,4,"Clear, relaxed. Handled the issues with the network very relaxed.",EMEA
5/21/2014,5,5,.,No network available,Routing,Rendezvous,4,4,"Good, clear",EMEA
5/21/2014,4,3,"None. Heard of EMS, never digged deep into itsw workings / specifics.",Network connection between students and instructor.,.,.,5,5,Comes with a lot of experience and can explain everything and elaborate (if needed.),EMEA
5/21/2014,4,4,Gain knowledge of EMS and its components,Network not available for exercises.,Fault tolerance,.,4,4,Good,EMEA
5/21/2014,4,4,"Learn more about EMS, queues",There wasn't a good network connection.,Hawk rules,Session about topics because we don't use them.,4,4,Fine,EMEA
5/21/2014,5,5,Explanation and hands-on skills in EMS,Network was not available.,All,-,5,5,Good instructor! Quality very good!!,EMEA
6/2/2014,5,5,Update my know how. Last project is some years ago.,yes,all,-,5,5,very good instructor. all questions were answered with examples.,EMEA
5/20/2014,5,5,To learn as much as i can about EMS concepts in details,"yes,very satisfied with all sessions and lab"," routing,bridges,admin",central administration,5,5,"Interactive,Clear idea of all the topics,satisfies",APJ
5/20/2014,5,5,To learn EMS product ,Yes,"Topics, Queues, Routing, permissions, failover and load-balancing",None,5,5,Good at explaning the Topics in EMS,APJ
5/20/2014,5,5,"every topic sholud be cover 
The course was higher than expectations.
",yes it was very supportive,"topics,queues,each and every thing are important and helpfull",nothing ,5,5,"The instructor was excellent,she use to cover each and every topic clearly,it was very helpfull, i will recomand this instructor for other course also ",APJ
5/20/2014,5,5,Understanding of what is ems and what actually it does. It is cleared.,Excellent,"Using the admin tool, using the config files, how to send and recieve messages through topics and queues, Fault tolerance and load balancing, Routing, Monitoring Server Activity, converting to json, Sending through webapp, etc..",Central administration,5,5,She was very interactive and fully conceptual,APJ
5/20/2014,5,5,we got what we want,yes,"routing,bridges,admin are most helpful for us",emsca(central admin),5,5,satisfied,APJ
5/20/2014,5,5,To  Have a grip on EMS Concepts,yes,"Routing,Bridging, Central Administration",JSON,5,5,"good,   she explained very cleary, staisfied",APJ
5/20/2014,4,4,got the clarity on ems,yes,"JMS Messsage Models, Using the EMS admin tools and configuration files, using database stores, Authentication and permissions",central administration,4,4,She was very interactive and she has good technical stuff,APJ
5/20/2014,4,4,We have reached our goals on effective learning of the trainer and learnt how to reach our organizational goals andto work in coorporate environment.,YES,"EMS Bridgining, Routing and WEB Messagining",central admin,4,4,She is good to teach and very interactive.,APJ
5/20/2014,5,5,Ems basics and all other concepts,yes,"routing,bridges,admin",emsca,5,5,satisfied,APJ
5/20/2014,4,4,To learn EMS effectively,Yes,"Managing Permissions,Persistence,Routing,etc........",Every topic is helpful,5,5,Good at technical Knowledge and presentation of the concept is very clear.,APJ
